,"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month
326,Standard Chartered Bank Apps,0.06,15.77,0.06,15.77,6
327,Standard Chartered Bank Apps,22.6,7527.98,22.6,7527.98,6
328,Standard Chartered Bank Apps,0.34,109.78,0.34,109.78,6
329,State Bank of India Apps,0.15,54.06,0.15,54.06,6
330,State Bank of India Apps,0.13,63.54,0.13,63.54,6
331,State Bank of India Apps,0.03,8.72,0.03,8.72,6
332,State Bank of India Apps,0.06,23.99,0.06,23.99,6
333,State Bank of India Apps,13.4,17583.25,13.4,17583.25,6
334,State Bank of India Apps,0.46,171.69,0.46,171.69,6
335,SuperPay,1.51,99.12,1.51,99.12,6
336,SuperPay,0.01,2.7,0.01,2.7,6
337,TJSB Bank Apps,0.01,3.87,0.01,3.87,6
338,Tamilnad Mercantile Bank Apps,0.12,6.94,0.12,6.94,6
339,Tamilnad Mercantile Bank Apps,3.55,494.21,3.55,494.21,6
340,Tamilnad Mercantile Bank Apps,0.05,3.17,0.05,3.17,6
341,TataNeu,0.1,5.3,0.1,5.3,6
342,TataNeu,0.01,3.87,0.01,3.87,6
343,TataNeu,2025.89,355137.2,2025.89,355137.2,6
344,UCO Bank App,0.72,416.73,0.72,416.73,6
345,UCO Bank App,8.24,2066.22,8.24,2066.22,6
346,UCO Bank Apps,0.11,61.38,0.11,61.39,6
347,UCO Bank Apps,35.25,6931.44,39.37,10202.14,6
348,UCO Bank Apps,0.03,15.71,0.03,15.71,6
349,UCO Bank Apps,7.03,663.65,7.03,663.65,6
350,Ultracash,3.98,467.34,3.98,467.34,6
351,Ultracash,0.17,53.3,0.17,53.68,6
352,Ultracash,0.01,2.98,0.01,2.98,6
353,Ultracash,1.0,1645.13,1.0,1645.13,6
354,Ultracash,0.01,4.47,0.01,4.47,6
355,Ultracash,1.87,116.34,1.87,116.34,6
356,Union Bank Apps,1.89,223.22,1.89,223.22,6
357,Union Bank Apps,0.13,8.72,0.13,8.72,6
358,Union Bank Apps,0.32,43.13,0.32,43.13,6
359,Union Bank Apps,0.04,15.91,0.04,15.91,6
360,Union Bank Apps,8.33,1758.64,8.33,1762.28,6
361,Union Bank Apps,0.11,51.45,0.11,51.45,6
362,Utkarsh Small Finance Bank,0.17,29.61,0.17,29.61,6
